pickup_date,pickup_hour,is_weekend,ride_count,Temperature (F),Wind Speed (mph),Precip. (in),Condition_All_Cloudy,Condition_All_Fair,Condition_All_Fog,Condition_All_Rain,Condition_All_Storm
6/1/2023,0,0,16844,63,5,0,0,1,0,0,0
6/1/2023,1,0,10336,63,5,0,0,1,0,0,0
6/1/2023,2,0,6556,62,3,0,0,1,0,0,0
6/1/2023,3,0,5546,62,0,0,0,1,0,0,0
6/1/2023,4,0,7128,61,5,0,0,1,0,0,0
6/1/2023,5,0,11147,61,3,0,0,1,0,0,0
6/1/2023,6,0,18729,61,0,0,0,1,0,0,0
6/1/2023,7,0,30228,63,3,0,0,1,0,0,0
6/1/2023,8,0,36615,66,0,0,0,1,0,0,0
6/1/2023,9,0,32361,70,0,0,0,1,0,0,0
6/1/2023,10,0,27430,74,5,0,0,1,0,0,0
6/1/2023,11,0,25936,78,6,0,0,1,0,0,0
6/1/2023,12,0,27023,80,7,0,0,1,0,0,0
6/1/2023,13,0,27851,83,7,0,0,1,0,0,0
6/1/2023,14,0,30866,84,6,0,0,1,0,0,0
6/1/2023,15,0,31608,85,6,0,0,1,0,0,0
6/1/2023,16,0,32229,85,7,0,0,1,0,0,0
6/1/2023,17,0,35944,78,12,0,0,1,0,0,0
6/1/2023,18,0,38353,78,12,0,0,1,0,0,0
6/1/2023,19,0,35874,77,8,0,0,1,0,0,0
6/1/2023,20,0,34388,73,9,0,0,1,0,0,0
6/1/2023,21,0,36493,70,9,0,0,1,0,0,0
6/1/2023,22,0,36222,69,5,0,0,1,0,0,0
6/1/2023,23,0,31413,69,6,0,0,1,0,0,0
6/2/2023,0,0,22597,69,5,0,0,1,0,0,0
6/2/2023,1,0,14009,68,6,0,0,1,0,0,0
6/2/2023,2,0,10005,68,3,0,0,1,0,0,0
6/2/2023,3,0,7582,68,0,0,0,1,0,0,0
6/2/2023,4,0,8789,67,0,0,0,1,0,0,0
6/2/2023,5,0,11675,68,0,0,0,1,0,0,0
6/2/2023,6,0,19443,68,3,0,0,1,0,0,0
6/2/2023,7,0,29964,69,0,0,0,1,0,0,0
6/2/2023,8,0,36309,73,0,0,0,1,0,0,0
6/2/2023,9,0,31754,77,0,0,0,1,0,0,0
6/2/2023,10,0,28140,81,5,0,0,1,0,0,0
6/2/2023,11,0,27851,83,8,0,0,1,0,0,0
6/2/2023,12,0,28841,84,9,0,0,1,0,0,0
6/2/2023,13,0,30267,87,8,0,0,1,0,0,0
6/2/2023,14,0,33415,89,3,0,0,1,0,0,0
6/2/2023,15,0,33734,88,8,0,1,0,0,0,0
6/2/2023,16,0,35416,86,13,0,1,0,0,0,0
6/2/2023,17,0,39907,82,12,0,1,0,0,0,0
6/2/2023,18,0,50043,80,13,0,1,0,0,0,0
6/2/2023,19,0,53123,76,7,0,0,0,0,0,1
6/2/2023,20,0,39103,74,6,0,0,0,0,1,0
6/2/2023,21,0,38373,73,0,0,1,0,0,0,0
6/2/2023,22,0,42176,73,8,0,1,0,0,0,0
6/2/2023,23,0,43284,73,3,0,1,0,0,0,0
6/3/2023,0,1,35429,72,0,0,1,0,0,0,0
6/3/2023,1,1,29596,70,7,0,1,0,0,0,0
6/3/2023,2,1,22239,68,9,0,1,0,0,0,0
6/3/2023,3,1,16883,67,5,0,0,1,0,0,0
6/3/2023,4,1,13785,66,5,0,0,1,0,0,0
6/3/2023,5,1,10875,66,6,0,1,0,0,0,0
6/3/2023,6,1,13125,67,10,0,1,0,0,0,0
6/3/2023,7,1,16801,67,10,0,1,0,0,0,0
6/3/2023,8,1,21704,66,15,0,1,0,0,0,0
6/3/2023,9,1,26528,67,16,0,1,0,0,0,0
6/3/2023,10,1,29183,65,16,0,1,0,0,0,0
6/3/2023,11,1,30819,66,16,0,1,0,0,0,0
6/3/2023,12,1,32990,63,15,0,1,0,0,0,0
6/3/2023,13,1,34676,64,10,0,1,0,0,0,0
6/3/2023,14,1,34836,66,13,0,1,0,0,0,0
6/3/2023,15,1,36050,65,10,0,1,0,0,0,0
6/3/2023,16,1,37076,65,9,0,1,0,0,0,0
6/3/2023,17,1,39138,65,13,0,1,0,0,0,0
6/3/2023,18,1,41872,64,15,0,1,0,0,0,0
6/3/2023,19,1,42385,63,14,0,1,0,0,0,0
6/3/2023,20,1,40099,61,15,0,1,0,0,0,0
6/3/2023,21,1,42776,60,16,0,1,0,0,0,0
6/3/2023,22,1,47419,58,20,0,1,0,0,0,0
6/3/2023,23,1,47825,57,17,0,1,0,0,0,0
6/4/2023,0,1,41726,57,18,0,1,0,0,0,0
